iter	RMSE
0	0.2821460026
1	0.2599433989
2	0.2401032637
3	0.222745829
4	0.2072228286
5	0.1933354738
6	0.1812418677
7	0.1706349379
8	0.1612552078
9	0.1529520988
10	0.145738276
11	0.1394050462
12	0.134063834
13	0.1293167417
14	0.1251927662
15	0.1214605899
16	0.1182682246
17	0.1156090688
18	0.1133342518
19	0.1111773866
20	0.1092883754
21	0.1072051053
22	0.1055253045
23	0.1042613187
24	0.1031842433
25	0.1019467093
26	0.1009640871
27	0.100174045
28	0.09948235372
29	0.09885984936
30	0.09831050403
31	0.09770059824
32	0.09711796788
33	0.09660912624
34	0.09609663878
35	0.09535261305
36	0.09494560579
37	0.09434683663
38	0.09392635198
39	0.0935298688
40	0.09312436494
41	0.09280592168
42	0.09248651724
43	0.09204439051
44	0.09176446815
45	0.09146132426
46	0.09124975777
47	0.09099842974
48	0.09073301523
49	0.09058392653
50	0.09039865648
51	0.0900432918
52	0.08973865454
53	0.08953151966
54	0.0893256393
55	0.08918268047
56	0.08906580862
57	0.08881391724
58	0.08871587331
59	0.08843302582
60	0.08822944548
61	0.08812852178
62	0.0879922952
63	0.08778999276
64	0.08770468281
65	0.08756625078
66	0.0874348799
67	0.08730746735
68	0.08720371099
69	0.08696466655
70	0.08682558365
71	0.08672279046
72	0.08661438289
73	0.08649348839
74	0.08632987114
75	0.08620745656
76	0.08610667538
77	0.08598316286
78	0.08593028243
79	0.08580941662
80	0.08568873035
81	0.08559319094
82	0.08549576894
83	0.085408133
84	0.08536139089
85	0.08526204437
86	0.08520738862
87	0.08511324275
88	0.08497459394
89	0.08488633826
90	0.08482156864
91	0.08474257036
92	0.08467324501
93	0.08460990058
94	0.08456359036
95	0.0844531258
96	0.08439512393
97	0.08433015601
98	0.08425204716
99	0.08414687249
100	0.08410401081
101	0.08406604671
102	0.08402802483
103	0.08398487163
104	0.08394633805
105	0.08387087324
106	0.08381733258
107	0.08375829865
108	0.0836773487
109	0.08362120214
110	0.08357240177
111	0.08351524114
112	0.08347774138
113	0.08343941756
114	0.0833666826
115	0.08332941988
116	0.08329109967
117	0.08323131654
118	0.08319232034
119	0.08314768408
120	0.08310211589
121	0.08307043965
122	0.08303557958
123	0.08300795116
124	0.08298095191
125	0.08293715353
126	0.08289862379
127	0.08286902859
128	0.08280293617
129	0.08276393976
130	0.08272082945
131	0.08268854912
132	0.08266479946
133	0.08262580995
134	0.08257570628
135	0.08255219855
136	0.08252259381
137	0.08249339779
138	0.08247206136
139	0.08244580678
140	0.08242041231
141	0.08236755204
142	0.08232409629
143	0.08230304756
144	0.08228460083
145	0.0822568215
146	0.08222861843
147	0.08220987328
148	0.08218261833
149	0.08215741283
